,dataset,esperimento,pattern,graph,Sub_3_present,Sub_92_present,Sub_42_present,Sub_3_compliant,Sub_92_compliant,Sub_42_compliant,respected,Sub3,Sub92,Sub42
50,bpi17denied,pattern,240,graph2906,True,False,False,False,,,True,1,1,0
51,bpi17denied,pattern,240,graph2905,True,True,True,True,True,True,True,0,1,1
52,bpi17denied,pattern,240,graph2904,False,False,False,,,,True,0,1,0
53,bpi17denied,pattern,240,graph2903,True,False,False,False,,,True,1,1,0
54,bpi17denied,pattern,240,graph2902,True,True,True,True,True,True,True,1,1,1
55,bpi17denied,pattern,240,graph2901,False,False,False,,,,True,0,1,0
56,bpi17denied,pattern,240,graph2900,True,True,True,True,True,True,True,1,1,1
57,bpi17denied,pattern,240,graph2899,True,False,False,False,,,True,1,1,0
58,bpi17denied,pattern,240,graph2898,True,True,True,True,True,True,True,0,1,1
59,bpi17denied,pattern,240,graph2897,False,False,False,,,,True,0,1,0
60,bpi17denied,pattern,240,graph2896,True,True,True,True,True,True,True,1,1,1
61,bpi17denied,pattern,240,graph2895,False,False,False,,,,True,0,1,0
62,bpi17denied,pattern,240,graph2894,False,False,False,,,,True,0,1,0
63,bpi17denied,pattern,240,graph2893,True,False,False,False,,,True,0,1,1
64,bpi17denied,pattern,240,graph2892,True,False,False,False,,,True,1,1,0
65,bpi17denied,pattern,240,graph2891,True,False,False,False,,,True,1,1,0
66,bpi17denied,pattern,240,graph2890,True,False,False,False,,,True,1,1,1
67,bpi17denied,pattern,240,graph2889,True,True,True,True,True,True,True,1,1,1
68,bpi17denied,pattern,240,graph2888,True,False,False,False,,,True,1,1,0
69,bpi17denied,pattern,240,graph2887,False,False,False,,,,True,0,1,0
70,bpi17denied,pattern,240,graph2886,False,False,False,,,,True,0,1,1
71,bpi17denied,pattern,240,graph2885,True,False,False,False,,,True,1,1,0
72,bpi17denied,pattern,240,graph2884,True,False,False,False,,,True,1,1,0
73,bpi17denied,pattern,240,graph2883,True,False,False,False,,,True,1,1,0
74,bpi17denied,pattern,240,graph2882,False,False,False,,,,True,0,1,0
75,bpi17denied,pattern,240,graph2881,True,True,True,True,True,True,True,1,1,1
76,bpi17denied,pattern,240,graph2880,True,True,True,True,True,True,True,1,1,1
77,bpi17denied,pattern,240,graph2879,True,True,True,True,True,True,True,1,0,1
78,bpi17denied,pattern,240,graph2878,False,False,False,,,,True,0,1,0
79,bpi17denied,pattern,240,graph2877,True,True,True,True,True,True,True,1,1,1
80,bpi17denied,pattern,240,graph2876,True,True,True,True,True,True,True,1,1,1
81,bpi17denied,pattern,240,graph2875,False,False,False,,,,True,0,1,0
82,bpi17denied,pattern,240,graph2874,True,True,True,True,True,True,True,0,1,1
83,bpi17denied,pattern,240,graph2873,True,True,True,True,True,True,True,0,1,1
84,bpi17denied,pattern,240,graph2872,True,True,True,True,True,True,True,1,1,1
85,bpi17denied,pattern,240,graph2871,True,True,True,True,True,True,True,1,1,1
86,bpi17denied,pattern,240,graph2870,False,False,False,,,,True,0,1,0
87,bpi17denied,pattern,240,graph2869,True,True,True,True,True,True,True,0,1,1
88,bpi17denied,pattern,240,graph2868,True,False,False,False,,,True,1,1,0
89,bpi17denied,pattern,240,graph2867,False,False,False,,,,True,0,1,0
90,bpi17denied,pattern,240,graph2866,True,True,True,True,True,True,True,0,1,1
91,bpi17denied,pattern,240,graph2865,True,True,True,True,True,True,True,0,1,1
92,bpi17denied,pattern,240,graph2864,True,False,False,False,,,True,1,1,1
93,bpi17denied,pattern,240,graph2863,False,False,False,,,,True,0,1,1
94,bpi17denied,pattern,240,graph2862,True,False,False,False,,,True,1,1,0
95,bpi17denied,pattern,240,graph2861,False,False,False,,,,True,0,1,0
96,bpi17denied,pattern,240,graph2860,True,True,True,True,True,True,True,1,1,0
97,bpi17denied,pattern,240,graph2859,True,False,False,False,,,True,1,0,0
98,bpi17denied,pattern,240,graph2858,False,False,False,,,,True,1,1,0
99,bpi17denied,pattern,240,graph2857,False,False,False,,,,True,1,1,0
100,bpi17denied,pattern,240,graph2856,False,False,False,,,,True,0,1,0
101,bpi17denied,pattern,240,graph2855,False,False,False,,,,True,1,1,0
102,bpi17denied,pattern,240,graph2854,False,False,False,,,,True,0,1,0
103,bpi17denied,pattern,240,graph2853,True,False,False,False,,,True,1,1,1
104,bpi17denied,pattern,240,graph2852,False,False,False,,,,True,1,1,0
105,bpi17denied,pattern,240,graph2851,True,False,False,False,,,True,1,1,0
106,bpi17denied,pattern,240,graph2850,False,False,False,,,,True,0,1,0
107,bpi17denied,pattern,240,graph2849,True,False,False,False,,,True,1,1,1
108,bpi17denied,pattern,240,graph2848,False,False,False,,,,True,0,1,0
109,bpi17denied,pattern,240,graph2847,True,True,True,True,True,True,True,0,1,1
110,bpi17denied,pattern,240,graph2846,False,False,False,,,,True,0,1,0
111,bpi17denied,pattern,240,graph2845,False,False,False,,,,True,1,1,0
112,bpi17denied,pattern,240,graph2844,True,True,True,True,True,True,True,1,1,1
113,bpi17denied,pattern,240,graph2843,True,False,False,False,,,True,1,1,0
114,bpi17denied,pattern,240,graph2842,False,False,False,,,,True,0,1,0
115,bpi17denied,pattern,240,graph2841,True,False,False,False,,,True,1,1,0
116,bpi17denied,pattern,240,graph2840,False,False,False,,,,True,1,1,0
117,bpi17denied,pattern,240,graph2839,True,True,True,True,True,True,True,0,1,1
118,bpi17denied,pattern,240,graph2838,True,False,False,False,,,True,0,1,0
119,bpi17denied,pattern,240,graph2837,True,False,False,False,,,True,1,1,0
120,bpi17denied,pattern,240,graph2836,False,False,False,,,,True,1,1,0
121,bpi17denied,pattern,240,graph2835,True,True,True,True,True,True,True,1,1,1
122,bpi17denied,pattern,240,graph2834,False,False,False,,,,True,0,1,0
123,bpi17denied,pattern,240,graph2833,True,False,False,False,,,True,1,1,0
124,bpi17denied,pattern,240,graph2832,True,True,True,True,True,True,True,1,1,1
125,bpi17denied,pattern,240,graph2831,False,False,False,,,,True,0,1,0
126,bpi17denied,pattern,240,graph2830,False,False,False,,,,True,0,1,0
127,bpi17denied,pattern,240,graph2829,True,True,True,True,True,True,True,1,1,1
128,bpi17denied,pattern,240,graph2828,True,False,False,False,,,True,1,1,0
129,bpi17denied,pattern,240,graph2827,False,False,False,,,,True,0,1,1
130,bpi17denied,pattern,240,graph2826,False,False,False,,,,True,0,1,0
131,bpi17denied,pattern,240,graph2825,False,False,False,,,,True,0,1,0
132,bpi17denied,pattern,240,graph2824,True,False,False,False,,,True,1,1,0
133,bpi17denied,pattern,240,graph2823,False,False,False,,,,True,0,1,0
134,bpi17denied,pattern,240,graph2822,False,False,False,,,,True,0,1,0
135,bpi17denied,pattern,240,graph2821,False,False,False,,,,True,1,1,0
136,bpi17denied,pattern,240,graph2820,False,False,False,,,,True,0,1,0
137,bpi17denied,pattern,240,graph2819,True,False,False,False,,,True,1,1,0
138,bpi17denied,pattern,240,graph2818,True,False,False,False,,,True,0,1,1
139,bpi17denied,pattern,240,graph2817,True,False,False,False,,,True,1,1,0
140,bpi17denied,pattern,240,graph2816,False,False,False,,,,True,1,1,0
141,bpi17denied,pattern,240,graph2815,True,True,True,True,True,True,True,1,1,0
142,bpi17denied,pattern,240,graph2814,False,False,False,,,,True,0,1,0
143,bpi17denied,pattern,240,graph2813,True,True,True,True,True,True,True,1,1,1
144,bpi17denied,pattern,240,graph2812,False,False,False,,,,True,0,1,1
145,bpi17denied,pattern,240,graph2811,True,True,True,True,True,True,True,0,1,1
146,bpi17denied,pattern,240,graph2810,True,True,True,True,True,True,True,0,1,1
147,bpi17denied,pattern,240,graph2809,True,True,True,True,True,True,True,0,1,1
148,bpi17denied,pattern,240,graph2808,True,False,False,False,,,True,1,1,0
149,bpi17denied,pattern,240,graph2807,False,False,False,,,,True,0,1,1
150,bpi17denied,pattern,240,graph2806,False,False,False,,,,True,1,0,0
151,bpi17denied,pattern,240,graph2805,True,True,True,True,True,True,True,0,1,1
152,bpi17denied,pattern,240,graph2804,False,False,False,,,,True,0,1,0
153,bpi17denied,pattern,240,graph2803,True,False,False,False,,,True,1,1,0
154,bpi17denied,pattern,240,graph2802,True,False,False,False,,,True,1,0,0
155,bpi17denied,pattern,240,graph2801,True,False,False,False,,,True,1,1,0
156,bpi17denied,pattern,240,graph2800,True,False,False,False,,,True,1,1,0
157,bpi17denied,pattern,240,graph2799,True,True,True,True,True,True,True,1,1,1
158,bpi17denied,pattern,240,graph2798,False,False,False,,,,True,0,1,0
159,bpi17denied,pattern,240,graph2797,True,True,True,True,True,True,True,0,1,1
160,bpi17denied,pattern,240,graph2796,True,False,False,False,,,True,1,1,1
161,bpi17denied,pattern,240,graph2795,False,False,False,,,,True,0,1,0
162,bpi17denied,pattern,240,graph2794,True,True,True,True,True,True,True,0,1,1
163,bpi17denied,pattern,240,graph2793,False,False,False,,,,True,1,1,0
164,bpi17denied,pattern,240,graph2792,True,False,False,False,,,True,1,1,0
165,bpi17denied,pattern,240,graph2791,True,True,True,True,True,True,True,1,1,1
166,bpi17denied,pattern,240,graph2790,True,False,False,False,,,True,1,0,0
167,bpi17denied,pattern,240,graph2789,True,False,False,False,,,True,1,1,0
168,bpi17denied,pattern,240,graph2788,True,True,True,True,True,True,True,1,1,1
169,bpi17denied,pattern,240,graph2787,True,False,False,False,,,True,1,1,0
170,bpi17denied,pattern,240,graph2786,False,False,False,,,,True,0,1,1
171,bpi17denied,pattern,240,graph2785,True,False,False,False,,,True,1,1,0
172,bpi17denied,pattern,240,graph2784,False,False,False,,,,True,0,1,0
173,bpi17denied,pattern,240,graph2783,False,False,False,,,,True,0,1,0
174,bpi17denied,pattern,240,graph2782,True,False,False,False,,,True,1,1,1
175,bpi17denied,pattern,240,graph2781,False,False,False,,,,True,0,1,0
176,bpi17denied,pattern,240,graph2780,True,True,True,True,True,True,True,1,1,1
177,bpi17denied,pattern,240,graph2779,True,False,False,False,,,True,1,1,0
178,bpi17denied,pattern,240,graph2778,False,False,False,,,,True,0,1,0
179,bpi17denied,pattern,240,graph2777,True,False,False,False,,,True,1,1,0
180,bpi17denied,pattern,240,graph2776,True,False,False,False,,,True,1,1,0
181,bpi17denied,pattern,240,graph2775,False,False,False,,,,True,0,1,0
182,bpi17denied,pattern,240,graph2774,False,False,False,,,,True,0,1,0
183,bpi17denied,pattern,240,graph2773,False,False,False,,,,True,0,1,0
184,bpi17denied,pattern,240,graph2772,True,False,False,False,,,True,1,1,0
185,bpi17denied,pattern,240,graph2771,True,False,False,False,,,True,1,1,0
186,bpi17denied,pattern,240,graph2770,True,False,False,False,,,True,1,1,0
187,bpi17denied,pattern,240,graph2769,True,False,False,False,,,True,1,1,0
188,bpi17denied,pattern,240,graph2768,True,False,False,False,,,True,1,1,0
189,bpi17denied,pattern,240,graph2767,True,False,False,False,,,True,1,1,0
190,bpi17denied,pattern,240,graph2766,True,True,True,True,True,True,True,1,1,1
191,bpi17denied,pattern,240,graph2765,False,False,False,,,,True,0,1,0
192,bpi17denied,pattern,240,graph2764,True,False,False,False,,,True,1,1,1
193,bpi17denied,pattern,240,graph2763,False,False,False,,,,True,1,1,0
194,bpi17denied,pattern,240,graph2762,True,True,True,True,True,True,True,0,1,1
195,bpi17denied,pattern,240,graph2761,True,False,False,False,,,True,1,1,0
196,bpi17denied,pattern,240,graph2760,True,False,False,False,,,True,1,1,0
197,bpi17denied,pattern,240,graph2759,True,False,False,False,,,True,1,1,0
198,bpi17denied,pattern,240,graph2758,True,False,False,False,,,True,1,1,0
199,bpi17denied,pattern,240,graph2757,True,False,False,False,,,True,1,1,1
200,bpi17denied,pattern,240,graph2756,False,False,False,,,,True,0,1,0
201,bpi17denied,pattern,240,graph2755,False,False,False,,,,True,0,1,0
202,bpi17denied,pattern,240,graph2754,False,False,False,,,,True,0,1,0
203,bpi17denied,pattern,240,graph2753,True,True,True,True,True,True,True,1,1,1
204,bpi17denied,pattern,240,graph2752,False,False,False,,,,True,0,1,0
205,bpi17denied,pattern,240,graph2751,True,False,False,False,,,True,1,1,0
206,bpi17denied,pattern,240,graph2750,True,True,True,True,True,True,True,1,1,1
207,bpi17denied,pattern,240,graph2749,True,False,False,False,,,True,1,1,0
208,bpi17denied,pattern,240,graph2748,True,True,True,True,True,True,True,1,1,1
209,bpi17denied,pattern,240,graph2747,True,False,False,False,,,True,1,0,0
210,bpi17denied,pattern,240,graph2746,True,True,True,True,True,True,True,0,1,1
211,bpi17denied,pattern,240,graph2745,True,False,False,False,,,True,1,1,1
212,bpi17denied,pattern,240,graph2744,True,True,True,True,True,True,True,0,1,1
213,bpi17denied,pattern,240,graph2743,True,True,True,True,True,True,True,0,1,1
214,bpi17denied,pattern,240,graph2742,True,True,True,True,True,True,True,1,1,1
215,bpi17denied,pattern,240,graph2741,True,False,False,False,,,True,1,1,0
216,bpi17denied,pattern,240,graph2740,False,False,False,,,,True,0,1,1
217,bpi17denied,pattern,240,graph2739,False,False,False,,,,True,1,1,0
218,bpi17denied,pattern,240,graph2738,False,False,False,,,,True,0,1,0
219,bpi17denied,pattern,240,graph2737,False,False,False,,,,True,0,1,0
220,bpi17denied,pattern,240,graph2736,False,False,False,,,,True,0,1,0
221,bpi17denied,pattern,240,graph2735,True,True,True,True,True,True,True,1,1,1
222,bpi17denied,pattern,240,graph2734,False,False,False,,,,True,1,1,0
223,bpi17denied,pattern,240,graph2733,False,False,False,,,,True,0,1,0
224,bpi17denied,pattern,240,graph2732,False,False,False,,,,True,0,0,1
225,bpi17denied,pattern,240,graph2731,True,True,True,True,True,True,True,1,1,1
226,bpi17denied,pattern,240,graph2730,True,True,True,True,True,True,True,1,1,1
227,bpi17denied,pattern,240,graph2729,False,False,False,,,,True,1,1,0
228,bpi17denied,pattern,240,graph2728,True,True,True,True,True,True,True,1,1,1
229,bpi17denied,pattern,240,graph2727,True,False,False,False,,,True,1,1,0
230,bpi17denied,pattern,240,graph2726,True,True,True,True,True,True,True,1,1,1
231,bpi17denied,pattern,240,graph2725,True,True,True,True,True,True,True,1,1,1
232,bpi17denied,pattern,240,graph2724,True,True,True,True,True,True,True,1,1,1
233,bpi17denied,pattern,240,graph2723,False,False,False,,,,True,0,1,0
234,bpi17denied,pattern,240,graph2722,True,True,True,True,True,True,True,0,1,1
235,bpi17denied,pattern,240,graph2721,False,False,False,,,,True,0,1,1
236,bpi17denied,pattern,240,graph2720,True,True,True,True,True,True,True,1,1,1
237,bpi17denied,pattern,240,graph2719,False,False,False,,,,True,0,1,0
238,bpi17denied,pattern,240,graph2718,False,False,False,,,,True,0,1,1
239,bpi17denied,pattern,240,graph2717,True,False,False,False,,,True,1,0,0
240,bpi17denied,pattern,240,graph2716,True,False,False,False,,,True,0,1,0
241,bpi17denied,pattern,240,graph2715,True,True,True,True,True,True,True,1,1,1
242,bpi17denied,pattern,240,graph2714,True,False,False,False,,,True,1,1,1
243,bpi17denied,pattern,240,graph2713,True,True,True,True,True,True,True,1,1,1
244,bpi17denied,pattern,240,graph2712,True,False,False,False,,,True,1,1,0
245,bpi17denied,pattern,240,graph2711,True,False,False,False,,,True,1,1,1
246,bpi17denied,pattern,240,graph2710,True,True,True,True,True,True,True,1,1,1
247,bpi17denied,pattern,240,graph2709,True,True,True,True,True,True,True,1,1,1
248,bpi17denied,pattern,240,graph2708,True,True,True,True,True,True,True,1,1,1
249,bpi17denied,pattern,240,graph2707,True,True,True,True,True,True,True,1,1,1
250,bpi17denied,pattern,240,graph2706,False,False,False,,,,True,0,1,0
251,bpi17denied,pattern,240,graph2705,True,True,True,True,True,True,True,1,1,1
252,bpi17denied,pattern,240,graph2704,True,True,True,True,True,True,True,0,1,1
253,bpi17denied,pattern,240,graph2703,True,True,True,True,True,True,True,1,1,1
254,bpi17denied,pattern,240,graph2702,True,False,False,False,,,True,1,1,1
255,bpi17denied,pattern,240,graph2701,False,False,False,,,,True,1,1,0
256,bpi17denied,pattern,240,graph2700,True,False,False,False,,,True,1,1,0
257,bpi17denied,pattern,240,graph2699,False,False,False,,,,True,0,1,0
258,bpi17denied,pattern,240,graph2698,True,True,True,True,True,True,True,1,1,1
259,bpi17denied,pattern,240,graph2697,False,False,False,,,,True,1,1,0
260,bpi17denied,pattern,240,graph2696,False,False,False,,,,True,0,1,1
261,bpi17denied,pattern,240,graph2695,False,False,False,,,,True,0,1,0
262,bpi17denied,pattern,240,graph2694,True,True,True,True,True,True,True,0,1,1
263,bpi17denied,pattern,240,graph2693,True,True,True,True,True,True,True,1,1,1
264,bpi17denied,pattern,240,graph2692,False,False,False,,,,True,1,1,0
265,bpi17denied,pattern,240,graph2691,True,False,False,False,,,True,1,1,0
266,bpi17denied,pattern,240,graph2690,True,True,True,True,True,True,True,0,1,1
267,bpi17denied,pattern,240,graph2689,False,False,False,,,,True,0,1,0
268,bpi17denied,pattern,240,graph2688,True,True,True,True,True,True,True,1,1,1
269,bpi17denied,pattern,240,graph2687,True,True,True,True,True,True,True,1,1,1
270,bpi17denied,pattern,240,graph2686,False,False,False,,,,True,0,1,0
271,bpi17denied,pattern,240,graph2685,False,False,False,,,,True,0,1,0
272,bpi17denied,pattern,240,graph2684,True,False,False,False,,,True,1,1,0
273,bpi17denied,pattern,240,graph2683,False,False,False,,,,True,1,1,0
274,bpi17denied,pattern,240,graph2682,True,True,True,True,True,True,True,1,1,1
275,bpi17denied,pattern,240,graph2681,True,True,True,True,True,True,True,1,1,1
276,bpi17denied,pattern,240,graph2680,True,False,False,False,,,True,1,1,0
277,bpi17denied,pattern,240,graph2679,True,False,False,False,,,True,1,1,0
278,bpi17denied,pattern,240,graph2678,False,False,False,,,,True,0,1,0
279,bpi17denied,pattern,240,graph2677,False,False,False,,,,True,0,1,1
280,bpi17denied,pattern,240,graph2676,True,False,False,False,,,True,1,1,1
281,bpi17denied,pattern,240,graph2675,True,True,True,True,True,True,True,1,1,1
282,bpi17denied,pattern,240,graph2674,False,False,False,,,,True,0,1,0
283,bpi17denied,pattern,240,graph2673,False,False,False,,,,True,0,1,1
284,bpi17denied,pattern,240,graph2672,True,True,True,True,True,True,True,1,1,1
285,bpi17denied,pattern,240,graph2671,True,False,False,False,,,True,1,1,0
286,bpi17denied,pattern,240,graph2670,False,False,False,,,,True,1,1,0
287,bpi17denied,pattern,240,graph2669,False,False,False,,,,True,0,1,0
288,bpi17denied,pattern,240,graph2668,False,False,False,,,,True,0,1,0
289,bpi17denied,pattern,240,graph2667,False,False,False,,,,True,0,1,0
290,bpi17denied,pattern,240,graph2666,True,False,False,False,,,True,1,1,1
291,bpi17denied,pattern,240,graph2665,False,False,False,,,,True,1,1,0
292,bpi17denied,pattern,240,graph2664,False,False,False,,,,True,0,1,0
293,bpi17denied,pattern,240,graph2663,False,False,False,,,,True,0,1,0
294,bpi17denied,pattern,240,graph2662,True,False,False,False,,,True,1,1,1
295,bpi17denied,pattern,240,graph2661,True,True,True,True,True,True,True,0,1,1
296,bpi17denied,pattern,240,graph2660,False,False,False,,,,True,0,1,0
297,bpi17denied,pattern,240,graph2659,True,True,True,True,True,True,True,1,1,1
298,bpi17denied,pattern,240,graph2658,False,False,False,,,,True,0,1,0
299,bpi17denied,pattern,240,graph2657,True,False,False,False,,,True,1,1,0
300,bpi17denied,pattern,240,graph2656,False,False,False,,,,True,0,1,0
301,bpi17denied,pattern,240,graph2655,True,True,True,True,True,True,True,0,1,1
302,bpi17denied,pattern,240,graph2654,False,False,False,,,,True,0,1,1
303,bpi17denied,pattern,240,graph2653,False,False,False,,,,True,0,1,0
304,bpi17denied,pattern,240,graph2652,True,False,False,False,,,True,1,1,0
305,bpi17denied,pattern,240,graph2651,True,False,False,False,,,True,1,1,0
306,bpi17denied,pattern,240,graph2650,False,False,False,,,,True,0,1,0
307,bpi17denied,pattern,240,graph2649,True,False,False,False,,,True,1,1,0
308,bpi17denied,pattern,240,graph2648,True,True,True,True,True,True,True,0,1,1
309,bpi17denied,pattern,240,graph2647,True,False,False,False,,,True,1,1,0
310,bpi17denied,pattern,240,graph2646,True,True,True,True,True,True,True,1,1,1
311,bpi17denied,pattern,240,graph2645,False,False,False,,,,True,0,1,1
312,bpi17denied,pattern,240,graph2644,False,False,False,,,,True,0,1,0
313,bpi17denied,pattern,240,graph2643,True,True,True,True,True,True,True,1,1,1
314,bpi17denied,pattern,240,graph2642,True,False,False,False,,,True,1,1,0
315,bpi17denied,pattern,240,graph2641,True,True,True,True,True,True,True,0,1,1
316,bpi17denied,pattern,240,graph2640,True,True,True,True,True,True,True,1,1,1
317,bpi17denied,pattern,240,graph2639,True,True,True,True,True,True,True,0,1,1
318,bpi17denied,pattern,240,graph2638,True,True,True,True,True,True,True,1,1,0
319,bpi17denied,pattern,240,graph2637,True,False,False,False,,,True,1,1,1
320,bpi17denied,pattern,240,graph2636,True,False,False,False,,,True,1,1,0
321,bpi17denied,pattern,240,graph2635,False,False,False,,,,True,0,1,0
322,bpi17denied,pattern,240,graph2634,True,False,False,False,,,True,1,1,0
323,bpi17denied,pattern,240,graph2633,True,True,True,True,True,True,True,1,1,1
324,bpi17denied,pattern,240,graph2632,True,False,False,False,,,True,1,1,1
325,bpi17denied,pattern,240,graph2631,True,False,False,False,,,True,1,1,1
326,bpi17denied,pattern,240,graph2630,True,False,False,False,,,True,1,1,0
327,bpi17denied,pattern,240,graph2629,True,True,True,True,True,True,True,1,1,1
328,bpi17denied,pattern,240,graph2628,False,False,False,,,,True,0,1,0
329,bpi17denied,pattern,240,graph2627,False,False,False,,,,True,0,1,0
330,bpi17denied,pattern,240,graph2626,True,False,False,False,,,True,1,1,0
331,bpi17denied,pattern,240,graph2625,True,True,True,True,True,True,True,1,1,1
332,bpi17denied,pattern,240,graph2624,False,False,False,,,,True,0,1,0
333,bpi17denied,pattern,240,graph2623,True,True,True,True,True,True,True,1,1,1
334,bpi17denied,pattern,240,graph2622,True,False,False,False,,,True,1,1,0
335,bpi17denied,pattern,240,graph2621,True,True,True,True,True,True,True,0,1,0
336,bpi17denied,pattern,240,graph2620,True,True,True,True,True,True,True,1,1,1
337,bpi17denied,pattern,240,graph2619,False,False,False,,,,True,0,1,0
338,bpi17denied,pattern,240,graph2618,False,False,False,,,,True,0,1,0
339,bpi17denied,pattern,240,graph2617,False,False,False,,,,True,1,1,0
340,bpi17denied,pattern,240,graph2616,True,False,False,False,,,True,1,1,0
341,bpi17denied,pattern,240,graph2615,True,False,False,False,,,True,1,1,0
342,bpi17denied,pattern,240,graph2614,True,False,False,False,,,True,1,1,0
343,bpi17denied,pattern,240,graph2613,True,False,False,False,,,True,1,1,0
344,bpi17denied,pattern,240,graph2612,True,False,False,False,,,True,1,1,1
345,bpi17denied,pattern,240,graph2611,True,True,True,True,True,True,True,1,1,1
346,bpi17denied,pattern,240,graph2610,True,False,False,False,,,True,1,0,0
347,bpi17denied,pattern,240,graph2609,True,False,False,False,,,True,1,1,0
348,bpi17denied,pattern,240,graph2608,True,True,True,True,True,True,True,1,1,1
349,bpi17denied,pattern,240,graph2607,True,True,True,True,True,True,True,1,1,1
350,bpi17denied,pattern,240,graph2606,True,True,True,True,True,True,True,1,1,1
351,bpi17denied,pattern,240,graph2605,True,False,False,False,,,True,1,1,0
352,bpi17denied,pattern,240,graph2604,True,False,False,False,,,True,1,1,0
353,bpi17denied,pattern,240,graph2603,True,False,False,False,,,True,1,1,0
354,bpi17denied,pattern,240,graph2602,True,True,True,True,True,True,True,0,1,0
355,bpi17denied,pattern,240,graph2601,True,True,True,True,True,True,True,1,1,1
356,bpi17denied,pattern,240,graph2600,False,False,False,,,,True,1,1,0
357,bpi17denied,pattern,240,graph2599,True,False,False,False,,,True,1,1,0
358,bpi17denied,pattern,240,graph2598,True,False,False,False,,,True,1,0,0
359,bpi17denied,pattern,240,graph2597,True,True,True,True,True,True,True,1,1,1
360,bpi17denied,pattern,240,graph2596,True,False,False,False,,,True,1,1,1
